"Alle leeftijden","Leeftijdsgroep","Leeftijd","Bevolking op 01 januari 2020"
"Alle leeftijden","Van 18 tot 64 jaar",55,166436
"Alle leeftijden","Van 18 tot 64 jaar",56,162658
"Alle leeftijden","Van 18 tot 64 jaar",54,162425
"Alle leeftijden","Van 18 tot 64 jaar",53,159559
"Alle leeftijden","Van 18 tot 64 jaar",49,158765
"Alle leeftijden","Van 18 tot 64 jaar",57,158593
"Alle leeftijden","Van 18 tot 64 jaar",58,157454
"Alle leeftijden","Van 18 tot 64 jaar",48,157320
"Alle leeftijden","Van 18 tot 64 jaar",50,156729
"Alle leeftijden","Van 18 tot 64 jaar",52,156102
"Alle leeftijden","Van 18 tot 64 jaar",51,156077
"Alle leeftijden","Van 18 tot 64 jaar",59,154595
"Alle leeftijden","Van 18 tot 64 jaar",47,154544
"Alle leeftijden","Van 18 tot 64 jaar",60,153630
"Alle leeftijden","Van 18 tot 64 jaar",39,153615
"Alle leeftijden","Van 18 tot 64 jaar",29,152710
"Alle leeftijden","Van 18 tot 64 jaar",28,152496
"Alle leeftijden","Van 18 tot 64 jaar",38,151750
"Alle leeftijden","Van 18 tot 64 jaar",40,151177
"Alle leeftijden","Van 18 tot 64 jaar",31,150769
"Alle leeftijden","Van 18 tot 64 jaar",30,150747
"Alle leeftijden","Van 18 tot 64 jaar",27,150102
"Alle leeftijden","Van 18 tot 64 jaar",37,150042
"Alle leeftijden","Van 18 tot 64 jaar",46,149976
"Alle leeftijden","Van 18 tot 64 jaar",41,149389
"Alle leeftijden","Van 18 tot 64 jaar",61,148660
"Alle leeftijden","Van 18 tot 64 jaar",32,148229
"Alle leeftijden","Van 18 tot 64 jaar",33,148119
"Alle leeftijden","Van 18 tot 64 jaar",42,147543
"Alle leeftijden","Van 18 tot 64 jaar",45,147062
"Alle leeftijden","Van 18 tot 64 jaar",36,146844
"Alle leeftijden","Van 18 tot 64 jaar",35,146670
"Alle leeftijden","Van 18 tot 64 jaar",43,145587
"Alle leeftijden","Van 18 tot 64 jaar",34,145505
"Alle leeftijden","Van 18 tot 64 jaar",26,144978
"Alle leeftijden","Van 18 tot 64 jaar",62,144335
"Alle leeftijden","Van 18 tot 64 jaar",44,143176
"Alle leeftijden","Van 18 tot 64 jaar",63,140242
"Alle leeftijden","Van 18 tot 64 jaar",25,139183
"Alle leeftijden","Van 18 tot 64 jaar",24,137144
"Alle leeftijden","Van 18 tot 64 jaar",64,136872
"Alle leeftijden","Van 18 tot 64 jaar",23,136183
"Alle leeftijden","Van 18 tot 64 jaar",22,134104
"Alle leeftijden","Van 18 tot 64 jaar",21,131067
"Alle leeftijden","Van 18 tot 64 jaar",19,130257
"Alle leeftijden","Van 18 tot 64 jaar",20,129678
"Alle leeftijden","Van 18 tot 64 jaar",18,127025
"Alle leeftijden","Minder dan 18 jaar",9,136422
"Alle leeftijden","Minder dan 18 jaar",11,136059
"Alle leeftijden","Minder dan 18 jaar",10,135497
"Alle leeftijden","Minder dan 18 jaar",8,134154
"Alle leeftijden","Minder dan 18 jaar",12,133365
"Alle leeftijden","Minder dan 18 jaar",7,132767
"Alle leeftijden","Minder dan 18 jaar",13,132465
"Alle leeftijden","Minder dan 18 jaar",6,129720
"Alle leeftijden","Minder dan 18 jaar",14,129217
"Alle leeftijden","Minder dan 18 jaar",5,129067
"Alle leeftijden","Minder dan 18 jaar",15,127637
"Alle leeftijden","Minder dan 18 jaar",4,125528
"Alle leeftijden","Minder dan 18 jaar",16,124730
"Alle leeftijden","Minder dan 18 jaar",3,124053
"Alle leeftijden","Minder dan 18 jaar",17,124002
"Alle leeftijden","Minder dan 18 jaar",2,121083
"Alle leeftijden","Minder dan 18 jaar",1,119110
"Alle leeftijden","Minder dan 18 jaar",0,117164
"Alle leeftijden","65 jaar en meer",65,132649
"Alle leeftijden","65 jaar en meer",66,127917
"Alle leeftijden","65 jaar en meer",67,125468
"Alle leeftijden","65 jaar en meer",68,119064
"Alle leeftijden","65 jaar en meer",69,118302
"Alle leeftijden","65 jaar en meer",70,116064
"Alle leeftijden","65 jaar en meer",71,115517
"Alle leeftijden","65 jaar en meer",72,112504
"Alle leeftijden","65 jaar en meer",73,110868
"Alle leeftijden","65 jaar en meer",74,92046
"Alle leeftijden","65 jaar en meer",75,89809
"Alle leeftijden","65 jaar en meer",76,83232
"Alle leeftijden","65 jaar en meer",80,72043
"Alle leeftijden","65 jaar en meer",77,71931
"Alle leeftijden","65 jaar en meer",81,70165
"Alle leeftijden","65 jaar en meer",79,68833
"Alle leeftijden","65 jaar en meer",82,64543
"Alle leeftijden","65 jaar en meer",78,63487
"Alle leeftijden","65 jaar en meer",83,59742
"Alle leeftijden","65 jaar en meer",84,55155
"Alle leeftijden","65 jaar en meer",85,52226
"Alle leeftijden","65 jaar en meer",86,47488
"Alle leeftijden","65 jaar en meer",87,44110
"Alle leeftijden","65 jaar en meer",88,39426
"Alle leeftijden","65 jaar en meer",89,34492
"Alle leeftijden","65 jaar en meer",90,27438
"Alle leeftijden","65 jaar en meer",91,22358
"Alle leeftijden","65 jaar en meer",92,17896
"Alle leeftijden","65 jaar en meer",93,14273
"Alle leeftijden","65 jaar en meer",94,11104
"Alle leeftijden","65 jaar en meer",95,8184
"Alle leeftijden","65 jaar en meer",96,5789
"Alle leeftijden","65 jaar en meer",97,3996
"Alle leeftijden","65 jaar en meer",98,2748
"Alle leeftijden","65 jaar en meer",99,1817
"Alle leeftijden","65 jaar en meer",100,1794
"Alle leeftijden",,,11492641
